Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths All/flat/100 - Sync,3.433854312033984e-3,3.3601965686329573e-3,3.5139797488968126e-3,2.495359609993289e-4,2.1486630274212193e-4,3.05384257473354e-4
findLargestPaths All/flat/100 - Async,2.5098598801414993e-3,2.392128123476113e-3,2.6863013503961083e-3,4.439283949545739e-4,3.142978571004264e-4,5.744026600742084e-4
findLargestPaths All/flat/100 - AsyncPooled,2.011121711511711e-3,1.9730045069771217e-3,2.0575499473585073e-3,1.3995668230551837e-4,1.115207776882404e-4,1.8157415215510155e-4
"findLargestPaths All/flat/1,000 - Sync",4.746643431583312e-2,4.561097254199083e-2,4.977157034788558e-2,4.328301823069607e-3,3.001959473353024e-3,6.198327360226566e-3
"findLargestPaths All/flat/1,000 - Async",2.881660033576192e-2,2.8229401050508293e-2,2.9560316457105957e-2,1.4979585790968891e-3,1.2317483132090522e-3,1.9226284395323146e-3
"findLargestPaths All/flat/1,000 - AsyncPooled",3.061777959817245e-2,2.8968459190358797e-2,3.305284106646357e-2,4.467128505541582e-3,2.322950387454367e-3,7.323511703863553e-3
"findLargestPaths All/flat/10,000 - Sync",0.6717848711457653,0.6553748046250121,0.6926017964374296,2.3013784709663358e-2,6.691383124916683e-3,3.0170881595863078e-2
"findLargestPaths All/flat/10,000 - Async",0.5555234589791288,0.5211477762500181,0.569949458416564,2.4631033554653153e-2,7.929209662773957e-3,3.331541863413033e-2
"findLargestPaths All/flat/10,000 - AsyncPooled",0.5430090710208996,0.48875743312510167,0.5987210870625006,6.659841757088375e-2,3.356043656222032e-2,9.172835441024783e-2
findLargestPaths All/sparse/d=6 - Sync,0.3666714968125291,0.3597984460625696,0.37536762125012046,1.0215514779639239e-2,4.534294239795895e-3,1.3278796816819005e-2
findLargestPaths All/sparse/d=6 - Async,0.2495904691699889,0.24164694723998764,0.2609166697199908,1.242382735440025e-2,5.505690293643373e-3,1.598246289118753e-2
findLargestPaths All/sparse/d=6 - AsyncPooled,0.2049491639666914,0.2000999123777976,0.21223006780558584,7.504649471727452e-3,5.115135248138319e-3,8.835390119284721e-3
findLargestPaths All/sparse/d=8 - Sync,1.4662169579375093,1.4150241297500088,1.4891701562500352,3.803392715030807e-2,1.6384244500083356e-2,5.300814089799903e-2
findLargestPaths All/sparse/d=8 - Async,1.2225745640833832,1.1548529619166934,1.3145396238750209,8.790090120007583e-2,4.2814964980731514e-2,0.11089816033522858
findLargestPaths All/sparse/d=8 - AsyncPooled,1.0175729688749773,0.9243052744999811,1.1108406632499737,0.1104084924357631,8.523834149991671e-2,0.13018160264961404
findLargestPaths All/sparse/d=10 - Sync,6.7342550849999725,6.286708349374976,7.072034336749994,0.42937664594098757,0.21953496774995074,0.5241129460712697
