Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths All/flat/100 - Sync,1.1155448387501505e-3,1.0959003391077626e-3,1.136147610092041e-3,6.675109093433405e-5,5.567626389039073e-5,8.25889660757892e-5
findLargestPaths All/flat/100 - Async,1.1417190717987662e-3,1.119626457642365e-3,1.165287934226922e-3,8.160920402049162e-5,6.662190780667608e-5,1.0574766671681944e-4
findLargestPaths All/flat/100 - AsyncPooled,1.0337714314862824e-3,9.878755175592516e-4,1.081628519404883e-3,1.5641777773506413e-4,1.3150384393288797e-4,1.903281140169544e-4
findLargestPaths All/flat/1_000 - Sync,1.4736448662653182e-2,1.4288717347805877e-2,1.5124229078434186e-2,9.890236464154465e-4,7.089412315759686e-4,1.3960419592384905e-3
findLargestPaths All/flat/1_000 - Async,1.3832996187920924e-2,1.3394945233689526e-2,1.4310486069803466e-2,1.086465635435443e-3,8.820608496410567e-4,1.452268920182075e-3
findLargestPaths All/flat/1_000 - AsyncPooled,1.1800209430350326e-2,1.1521068699220458e-2,1.2129969525171747e-2,7.908862690739087e-4,5.586221491156502e-4,1.181710771992969e-3
findLargestPaths All/flat/10_000 - Sync,0.24290329228333726,0.23155556239998987,0.25045793270002836,1.2383916037525932e-2,6.967128971888977e-3,1.8897695298800702e-2
findLargestPaths All/flat/10_000 - Async,0.2802021897600033,0.27145533130002375,0.2864162324199849,9.892151300676251e-3,4.968323738115913e-3,1.4184604018116057e-2
findLargestPaths All/flat/10_000 - AsyncPooled,0.22036996412222212,0.21394750830560838,0.2327025983054859,1.2471547515687551e-2,4.103949756480178e-3,1.8752475454551564e-2
findLargestPaths All/sparse/d=6 - Sync,0.1313558017835,0.12617423675226935,0.13475734625230093,6.502452045579658e-3,3.5420911604865496e-3,1.0855486354033075e-2
findLargestPaths All/sparse/d=6 - Async,0.1421149256500152,0.13633652537619653,0.15274998860716046,1.0989885798126457e-2,6.783905806046777e-3,1.4792180726385398e-2
findLargestPaths All/sparse/d=6 - AsyncPooled,0.10131700200324623,9.862120278261371e-2,0.10332473952220704,3.719008254942066e-3,1.7959778180149863e-3,6.053149303483463e-3
findLargestPaths All/sparse/d=8 - Sync,0.6239645572083106,0.6120464293749706,0.6324028489999876,1.2574923550769357e-2,6.959672083326041e-3,1.7692368221998423e-2
findLargestPaths All/sparse/d=8 - Async,0.9052176248124937,0.8903096542499611_0.9117150252500039,1.086057724147223e-2,4.514320458505526e-3,1.500510356651731e-2
findLargestPaths All/sparse/d=8 - AsyncPooled,0.5856878817500141_0.573532381875007,0.6059558446250435,1.9185893891438405e-2,4.823306499986302e-3,2.4304405399717347e-2
findLargestPaths All/sparse/d=10 - Sync,2.818501657541674,2.774405456125038,2.8510439958333222,4.4109525605265716e-2,2.3107726249975258e-2,6.034306530915601e-2
findLargestPaths All/sparse/d=10 - Async,4.081715661125031,4.046731523250003,4.099630992375069,3.407745215748986e-2,1.9549648805853026e-3,4.137368527932192e-2
findLargestPaths All/sparse/d=10 - AsyncPooled,2.6214341863541506,2.5813698455625342,2.643835590374948,3.789853772154447e-2,1.346204908332993e-2,4.8086152776770225e-2
findLargestPaths All/dense/d=6 - Sync,0.2734412087566761_0.2649701509699935,0.2803464508333491,1.032901262855722e-2,6.871109786417344e-3,1.2762721736096931e-2
findLargestPaths All/dense/d=6 - Async,0.2925805256666164,0.27805236996662563,0.3015795604999175,1.5691419257838787e-2,8.296420946433404e-3,2.3850447039288916e-2
findLargestPaths All/dense/d=6 - AsyncPooled,0.21671528937500792,0.21024634997222494,0.22453134611111839,9.704596610188595e-3,5.2194550974512515e-3,1.3914573208731313e-2
findLargestPaths All/dense/d=8 - Sync,1.2224597241458686,1.2043796481666882,1.2386721300208638,2.2967778031310903e-2,9.992897333366613e-3,3.0215343003387563e-2
findLargestPaths All/dense/d=8 - Async,1.6844514915833504,1.6399060617500254,1.7689252107500408,7.980919494370706e-2,2.211890183334242e-2,9.931898720770047e-2
findLargestPaths All/dense/d=8 - AsyncPooled,1.1384893343333384,1.1081951449583112,1.16018575749996,3.1414043438505346e-2,2.391502648982584e-2,3.772075808319774e-2
findLargestPaths All/dense/d=10 - Sync,5.829071264229185,5.7679917269999805,5.850192679541692,4.079654696464115e-2,1.5612801666975429e-3,4.8777819265367194e-2
findLargestPaths All/dense/d=10 - Async,8.37008260683333,8.162074635499948,8.440418798583332,0.13878613096138104,2.138574993182374e-5,0.16243447696254676
findLargestPaths All/dense/d=10 - AsyncPooled,5.054069914041619,4.790161364416647,5.290937253249922,0.2771013604045255,0.23659783714710197,0.3084125215412359
takeLargestN/1,5.045074102979204,4.916765444666756,5.1889998744791415,0.14897335216163232,7.512769674997344e-2,0.2095661617798203
takeLargestN/10,5.268910291729209,5.2148609646666655,5.2885179230625425,3.706039885684434e-2,2.751841907592187e-4,4.528188491388527e-2
takeLargestN/100,5.258200258062534,5.21447416343752,5.293726338500051,4.814955860886302e-2,1.644929287037296e-2,6.559467554503552e-2
takeLargestN/1_000,5.388249495229047,5.284672236333336,5.524801129416346,0.14877397211632196,4.885766333336505e-2,0.20365663146724028
displayPathSize/d=6,0.3828290448750427,0.37725835750001124,0.3884838557501098,7.176563625187207e-3,3.4576765727075197e-3,9.601549751038033e-3
displayPathSize/d=8,1.676808835395813,1.65188624081253,1.6979166374999295,2.60080106080762e-2,1.3251483375029238e-2,3.3444885919782084e-2
displayPathSize/d=10,7.2130728819166166,7.112101746499889,7.298917044749828,0.11332869516110768,4.714479349979683e-2,0.14381048364445712
