Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths All/flat/100 - Sync,9.275164650078282e-4,9.26786851419984e-4,9.297339218078609e-4,4.01702844732682e-6,1.6744096612730108e-6,7.707206719477505e-6
findLargestPaths All/flat/100 - Async,8.198658385239748e-4,8.05869522513419e-4,8.506137941440102e-4,6.73399300585629e-5,2.9796892429947497e-5,1.0962822979849921e-4
findLargestPaths All/flat/100 - AsyncPool,6.661895527507338e-4,6.61483661881607e-4,6.771873846750793e-4,2.2632561833333007e-5,1.2265985072138015e-5,4.091534788444699e-5
findLargestPaths All/flat/1_000 - Sync,1.1066512581539829e-2,1.104985436366683e-2,1.1084801121137976e-2,4.853083040239652e-5,3.927866708429999e-5,7.188713615265164e-5
findLargestPaths All/flat/1_000 - Async,8.532004755405392e-3,8.404286814032299e-3,8.714276917558923e-3,3.959129157158175e-4,2.8734458515304324e-4,6.120476858572762e-4
findLargestPaths All/flat/1_000 - AsyncPool,7.954135640648998e-3,7.782329517908051e-3,8.204655304248527e-3,6.311330385689022e-4,3.948443505783666e-4,9.99779179847544e-4
findLargestPaths All/flat/10_000 - Sync,0.14165924421121606,0.14124516327550116,0.14194550818910115,4.908285678779386e-4,6.673213986892808e-5,5.899863657278033e-4
findLargestPaths All/flat/10_000 - Async,0.16669211938299772,0.1640707058401362,0.17320392583335,5.788554011859193e-3,1.9157862891850874e-3,9.006356856124427e-3
findLargestPaths All/flat/10_000 - AsyncPool,9.78384690890899e-2,9.65495667718013e-2,0.10023531278487578,2.6676279862464826e-3,1.372222675934709e-3,4.328251822025415e-3
findLargestPaths All/sparse/d=6 - Sync,9.936239872089955e-2,9.897744698014638e-2,9.967059486905896e-2,5.647658604854785e-4,3.224140170154935e-4,8.923424066534694e-4
findLargestPaths All/sparse/d=6 - Async,0.11089503129545662,0.10934664515462024,0.11280312544956494,2.915547742311083e-3,1.7569200924519679e-3,4.436798366765915e-3
findLargestPaths All/sparse/d=6 - AsyncPool,7.145228403805444e-2,7.040518956219573e-2,7.240172141287639e-2,1.8145710349099225e-3,1.4557958502662133e-3,2.3332068050004135e-3
findLargestPaths All/sparse/d=8 - Sync,0.4398655659999993,0.4361493745000189,0.44339293299998417,4.588081824192071e-3,1.3814699999178948e-4,5.576093933127682e-3
findLargestPaths All/sparse/d=8 - Async,0.5774076244999643,0.5678020130000428,0.5810871662499153,6.5485804883685635e-3,3.182735734963676e-4,8.497537679314639e-3
findLargestPaths All/sparse/d=8 - AsyncPool,0.34051124547917294,0.3318363185833467,0.35615388168749007,1.533330752654676e-2,2.821502083312083e-3,1.96915554387339e-2
findLargestPaths All/sparse/d=10 - Sync,1.9274959403750245,1.9117119862500545,1.9406988312499607,1.5835436917450502e-2,1.0503654251994947e-2,1.8761585028540324e-2
findLargestPaths All/sparse/d=10 - Async,2.572790743395842,2.530211572812476,2.6503167240625487,7.393215596737061e-2,5.875393852322622e-3,9.245698854038684e-2
findLargestPaths All/sparse/d=10 - AsyncPool,1.4695754114999886,1.44745282049999,1.4903869589999772,2.599989637766321e-2,1.186910100005889e-2,3.239759639546533e-2
findLargestPaths All/dense/d=6 - Sync,0.1952408799472355,0.19460032016943327,0.19682721522231836,1.3094825786199242e-3,3.0734918114566244e-4,1.9010490427450982e-3
findLargestPaths All/dense/d=6 - Async,0.20916076478333456,0.20519567980556352,0.2141684919166601,6.219084180157664e-3,3.777788738649109e-3,8.405985479411834e-3
findLargestPaths All/dense/d=6 - AsyncPool,0.14121666572346153,0.13858890709015048,0.14421065702855293,3.7718703923524414e-3,2.524104817103208e-3,5.570619146919408e-3
findLargestPaths All/dense/d=8 - Sync,0.8580362090208192,0.8554930131458415,0.8598787452499437,2.548518358917428e-3,1.0676301037618285e-3,3.2118666644472536e-3
findLargestPaths All/dense/d=8 - Async,1.1140331172083033,1.088016319624984,1.1432423798332632,3.0788621996568438e-2,1.5304163724350178e-2,4.318187386484157e-2
findLargestPaths All/dense/d=8 - AsyncPool,0.650511792479179,0.6343268478750019,0.6621997048750075,1.722536072963431e-2,8.994064416697256e-3,2.4195178426783332e-2
findLargestPaths All/dense/d=10 - Sync,3.8334466020000044,3.8020265334999976,3.8695441214999704,3.772796806149733e-2,1.7930242270644273e-2,5.275409335609201e-2
findLargestPaths All/dense/d=10 - Async,5.067885591000035,4.991822937500004,5.186829212375102,0.1149352136631415,2.2121123749997196e-2,0.15011590039040534
findLargestPaths All/dense/d=10 - AsyncPool,2.824853871166662,2.7829566210833336,2.9049758916249857,7.900503525346325e-2,2.7206585833330355e-3,9.408771312472007e-2
takeLargestN/1,3.5259585196666308,3.5182371879999437,3.537202764499966,1.0632935448388515e-2,9.711712800870229e-4,1.3469321202764032e-2
takeLargestN/10,3.525582115958277,3.5199739692499463,3.528772928999956,5.417255084666344e-3,2.637552499948015e-3,6.773442373675851e-3
takeLargestN/100,3.532461262416684,3.523744450000038,3.5484774370000167,1.5277588429842582e-2,1.0911537111696467e-3,1.903946226973506e-2
takeLargestN/1_000,3.5187024289583015,3.5160560049582963,3.5233430782499795,4.4116859986444434e-3,6.227889862945677e-4,5.669954728676984e-3
displayPathSize/d=6,0.24771629392997285,0.24725028987997577,0.24836765262994734,6.874492279419754e-4,3.811705451866063e-4,9.744512849983096e-4
