Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.findLargestPaths All.flat.100 - Sync,1384157481,85974130,1092736,17853,51380224
All.findLargestPaths All.flat.1_000 - Sync,23518587500,1913962384,11229440,1890182,51380224
All.findLargestPaths All.flat.10_000 - Sync,419531244500,20621014416,120997969,33071613,53477376
All.findLargestPaths All.sparse.d=6 - Sync,197860058800,17283466508,79199302,23550092,53477376
All.findLargestPaths All.sparse.d=8 - Sync,891453978300,12032358260,335805010,107274566,165675008
All.findLargestPaths All.sparse.d=10 - Sync,3901653741400,337581788922,1391734485,468176554,686817280
All.findLargestPaths All.dense.d=6 - Sync,382072853025,20225244582,155325400,46121225,686817280
All.findLargestPaths All.dense.d=8 - Sync,1655038792900,68352806594,647670586,206054532,686817280
All.findLargestPaths All.dense.d=10 - Sync,7392042311300,409320670574,2696972165,899048981,1287651328
All.takeLargestN.1,7339799548700,329000089174,2664578217,876732021,1301282816
All.takeLargestN.10,7312851545800,459057173720,2664579443,876727616,1301282816
All.takeLargestN.100,7199597640600,165616545080,2664589417,876733458,1301282816
All.takeLargestN.1_000,7280153801000,724186561542,2663799932,876696898,1310720000
All.displayPathSize.d=6,481711151750,1032493208,287465249,55051179,1310720000
All.displayPathSize.d=8,2204162581100,92049803078,1183086941,243600160,1310720000
All.displayPathSize.d=10,9797900122800,285010479292,4847781866,1050109552,1310720000
