Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.findLargestPaths All.flat.100 - Sync,894671250,85300402,962416,10532,46137344
"All.findLargestPaths All.flat.1,000 - Sync",11809310000,748434312,9783394,1052356,46137344
"All.findLargestPaths All.flat.10,000 - Sync",220409445000,18186790566,108938625,25335436,47185920
All.findLargestPaths All.sparse.d=6 - Sync,116761480000,3715718878,72425849,17997483,47185920
All.findLargestPaths All.sparse.d=8 - Sync,543073200000,36963992522,303674655,85848479,126877696
All.findLargestPaths All.sparse.d=10 - Sync,2330608260000,90143636968,1267819733,382902502,545259520
All.findLargestPaths All.dense.d=6 - Sync,230093507500,2198099542,140129809,35780961,545259520
All.findLargestPaths All.dense.d=8 - Sync,1030960910000,27307443518,586640161,165404421,545259520
All.findLargestPaths All.dense.d=10 - Sync,4634263800000,343415543590,2451374251,733535738,969932800
All.takeLargestN.1,4552499550000,5527336432,2418968884,711188813,1072693248
All.takeLargestN.10,4465430960000,259652571318,2417722957,711333631,1072693248
All.takeLargestN.100,4432279350000,34759453102,2418971108,711138044,1072693248
"All.takeLargestN.1,000",4576717920000,441353934642,2418590513,711313528,1072693248
All.displayPathSize.d=6,325243040000,12691564068,270713218,44525664,1072693248
All.displayPathSize.d=8,1368188380000,26457424636,1116293588,201187682,1072693248
All.displayPathSize.d=10,6109269020000,23335784298,4581423398,879054052,1072693248
