Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.findLargestPaths All.flat.100 - Sync,3074447656,270480372,1660659,42939,50331648
"All.findLargestPaths All.flat.1,000 - Sync",44445062500,2048797284,17181003,3434686,50331648
"All.findLargestPaths All.flat.10,000 - Sync",672057400000,35201076528,177116831,47158487,73400320
All.findLargestPaths All.sparse.d=6 - Sync,330870100000,30313031930,121220441,32185281,76546048
All.findLargestPaths All.sparse.d=8 - Sync,1383580700000,74476268912,507922923,141735892,223346688
All.findLargestPaths All.sparse.d=10 - Sync,5913137725000,85552296228,2121399059,607074292,975175680
All.findLargestPaths All.dense.d=6 - Sync,704567900000,36730994238,233488027,63281050,975175680
All.findLargestPaths All.dense.d=8 - Sync,2848458100000,242862920744,977992245,277264768,975175680
All.findLargestPaths All.dense.d=10 - Sync,12145593400000,684215334862,4094957643,1180881828,1663041536
All.takeLargestN.1,11458116100000,1095688067022,4062497240,1159322076,1672478720
All.takeLargestN.10,11724830400000,28991515754,4062498467,1159322759,1795162112
All.takeLargestN.100,10681340800000,805652609010,4062119645,1159464136,1795162112
"All.takeLargestN.1,000",10984902000000,825285733066,4063780902,1159612916,1795162112
All.displayPathSize.d=6,743917400000,54076173540,366241367,74866530,1795162112
All.displayPathSize.d=8,3209126200000,86530911378,1515735860,324273605,1795162112
All.displayPathSize.d=10,13625084100000,38302502812,6260257124,1373734866,1817182208
