Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.findLargestPaths All.flat.100 - Sync,978882187,48733704,975395,10703,39845888
"All.findLargestPaths All.flat.1,000 - Sync",14124725000,966093168,9783757,1052993,39845888
"All.findLargestPaths All.flat.10,000 - Sync",278880260000,6438623576,108541568,24288237,39845888
All.findLargestPaths All.sparse.d=6 - Sync,155514120000,5015232144,72425406,17990131,39845888
All.findLargestPaths All.sparse.d=8 - Sync,691831240000,62887265240,303674655,85842979,135266304
All.findLargestPaths All.sparse.d=10 - Sync,2974667860000,127158388232,1267819733,382902502,544210944
All.findLargestPaths All.dense.d=6 - Sync,294553255000,17007208806,140129809,35781015,544210944
All.findLargestPaths All.dense.d=8 - Sync,1326124930000,72592784134,586640161,165390837,544210944
All.findLargestPaths All.dense.d=10 - Sync,5987215640000,538891130378,2451374251,733535732,972029952
All.takeLargestN.1,5551736010000,109820140742,2418968884,711203896,1071644672
All.takeLargestN.10,5572750220000,250311978718,2418548439,711341974,1071644672
All.takeLargestN.100,5519114070000,157431752318,2418971108,711138044,1071644672
"All.takeLargestN.1,000",5604769540000,263812552182,2418598737,711249155,1071644672
All.displayPathSize.d=6,376279220000,26357248792,270710491,44524847,1071644672
All.displayPathSize.d=8,1733079500000,27969632688,1116218928,201190367,1071644672
All.displayPathSize.d=10,7720624520000,329952223020,4581429688,878995247,1071644672
